1	8857008
2	4736345
3	3169247
4	2352997
5	1850839
6	1513878
7	1267564
8	1083434
9	937191
10	820522
11	726432
12	646126
13	580325
14	522851
15	473154
16	429400
17	393536
18	360570
19	332803
20	304489
21	282018
22	261496
23	242040
24	226377
25	211565
26	198221
27	184324
28	173133
29	163046
30	152851
31	143998
32	135812
33	128362
34	120334
35	114393
36	109164
37	103077
38	98258
39	92729
40	89362
41	84186
42	81109
43	76550
44	73226
45	69428
46	66563
47	63736
48	61116
49	58222
50	55533
51	53834
52	51389
53	49346
54	47569
55	45921
56	45203
57	42247
58	40683
59	39107
60	38027
61	36650
62	35571
63	33900
64	32616
65	31353
66	30678
67	29332
68	28400
69	27411
70	26891
71	25848
72	24728
73	24095
74	23160
75	22639
76	22149
77	21325
78	20710
79	20489
80	19977
81	18858
82	18386
83	17926
84	17341
85	16883
86	16354
87	16016
88	15545
89	15195
90	14699
91	14483
92	13982
93	13737
94	13353
95	13000
96	12702
97	12378
98	11966
99	11586
100	11509
101	11222
102	10707
103	10698
104	10516
105	10125
106	9797
107	9602
108	9403
109	9018
110	8849
111	8728
112	9121
113	8630
114	8277
115	8260
116	7891
117	7647
118	7359
119	7432
120	7259
121	7288
122	7081
123	6765
124	6822
125	6481
126	6400
127	6312
128	6129
129	6042
130	5804
131	5846
132	5540
133	5843
134	5493
135	5297
136	5249
137	5104
138	5113
139	4986
140	4858
141	4838
142	4641
143	4744
144	4591
145	4407
146	4422
147	4303
148	4158
149	4260
150	4188
151	4012
152	4038
153	3821
154	3748
155	3824
156	3708
157	3596
158	3507
159	3594
160	3494
161	3342
162	3444
163	3279
164	3161
165	3077
166	3079
167	3213
168	2988
169	2987
170	2840
171	2849
172	2737
173	2682
174	2739
175	2569
176	2614
177	2648
178	2534
179	2507
180	2502
181	2379
182	2398
183	2347
184	2415
185	2401
186	2316
187	2205
188	2188
189	2148
190	2132
191	1998
192	2056
193	2037
194	1944
195	2055
196	1936
197	1960
198	1871
199	1890
200	1806
201	1810
202	1752
203	1737
204	1754
205	1776
206	1872
207	1780
208	1672
209	1688
210	1687
211	1637
212	1602
213	1542
214	1595
215	1563
216	1567
217	1458
218	1423
219	1425
220	1399
221	1451
222	1374
223	1378
224	1370
225	1345
226	1397
227	1288
228	1302
229	1251
230	1304
231	1243
232	1250
233	1224
234	1264
235	1184
236	1238
237	1056
238	1130
239	1143
240	1139
241	1113
242	1100
243	1047
244	1131
245	1431
246	1256
247	1158
248	1132
249	1037
250	1039
251	1021
252	951
253	1002
254	1021
255	1019
256	995
257	956
258	943
259	901
260	905
261	943
262	905
263	935
264	844
265	924
266	873
267	892
268	871
269	854
270	836
271	725
272	812
273	865
274	826
275	837
276	804
277	748
278	781
279	791
280	765
281	783
282	690
283	705
284	738
285	684
286	687
287	685
288	715
289	728
290	740
291	710
292	707
293	642
294	661
295	647
296	708
297	622
298	641
299	620
300	624
301	621
302	626
303	605
304	557
305	573
306	571
307	596
308	597
309	580
310	551
311	559
312	502
313	518
314	594
315	525
316	557
317	529
318	535
319	531
320	557
321	533
322	516
323	514
324	517
325	542
326	493
327	526
328	462
329	470
330	478
331	481
332	439
333	437
334	457
335	440
336	437
337	427
338	467
339	456
340	465
341	434
342	436
343	443
344	428
345	432
346	462
347	397
348	389
349	374
350	383
351	407
352	410
353	438
354	377
355	377
356	392
357	413
358	361
359	347
360	363
361	409
362	437
363	476
364	494
365	476
366	459
367	403
368	345
369	391
370	374
371	365
372	372
373	338
374	345
375	378
376	343
377	330
378	338
379	325
380	335
381	340
382	331
383	316
384	296
385	329
386	318
387	274
388	289
389	291
390	269
391	296
392	299
393	298
394	278
395	287
396	276
397	290
398	313
399	265
400	254
401	250
402	256
403	263
404	272
405	282
406	277
407	263
408	275
409	269
410	252
411	273
412	267
413	225
